b'LoRa Receiver\r\
b'LoRa Initializing OK!\r\
b"Received packet 'Sender 1:,31, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,38, S2M1:,43.47,S2M2: ,37.54,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,32, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,39, S2M1:,42.79,S2M2: ,36.95,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,33, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,40, S2M1:,40.18,S2M2: ,34.90,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,34, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,41, S2M1:,41.90,S2M2: ,36.19,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,35, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,42, S2M1:,44.86,S2M2: ,38.33,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,36, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,43, S2M1:,45.34,S2M2: ,38.93,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,37, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,44, S2M1:,39.97,S2M2: ,34.90,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,38, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,45, S2M1:,43.02,S2M2: ,36.76,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,39, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,46, S2M1:,46.06,S2M2: ,39.34,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,40, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,47, S2M1:,43.47,S2M2: ,37.34,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,41, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,48, S2M1:,40.18,S2M2: ,34.72,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,42, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,49, S2M1:,40.81,S2M2: ,35.26,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,43, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,50, S2M1:,42.57,S2M2: ,36.38,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,44, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,51, S2M1:,43.47,S2M2: ,37.34,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,45, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,52, S2M1:,45.10,S2M2: ,38.33,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,46, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,53, S2M1:,45.82,S2M2: ,39.14,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,47, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,54, S2M1:,45.58,S2M2: ,38.93,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,48, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,55, S2M1:,46.79,S2M2: ,40.18,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,49, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,56, S2M1:,42.79,S2M2: ,36.95,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,50, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,57, S2M1:,41.46,S2M2: ,35.82,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,51, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,58, S2M1:,39.97,S2M2: ,34.72,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,52, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,59, S2M1:,40.39,S2M2: ,34.72,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,53, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,60, S2M1:,43.93,S2M2: ,37.54,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,54, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,61, S2M1:,44.16,S2M2: ,37.93,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,55, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.75,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,62, S2M1:,39.55,S2M2: ,34.36,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,56, S1M1:,10.89,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,63, S2M1:,45.10,S2M2: ,38.53,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,57, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,64, S2M1:,40.60,S2M2: ,35.26,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,58, S1M1:,10.93,S1M2: ,10.85,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,65, S2M1:,41.46,S2M2: ,35.63,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,59, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,66, S2M1:,44.86,S2M2: ,38.53,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,60, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,67, S2M1:,39.55,S2M2: ,34.19,S2T1: ,-127.00,S2T2: ,-127.00\r\
b"Received packet 'Sender 1:,61, S1M1:,10.93,S1M2: ,10.89,S1T1: ,27.69,S1T2: ,-127.00\r\
b"Received packet 'Sender 2:,68, S2M1:,39.34,S2M2: ,33.66,S2T1: ,-127.00,S2T2: ,-127.00\r\
